Country,Code,Region,SNE1_X,SNE1_Y,SNE2_X,SNE2_Y,BeeSwarm1,BeeSwarm2
Finland,FIN,Europe and Central Asia,-0.5817379,-1.8917916,0.623701371,16.89354671,0.648756407,0.117469621
France,FRA,Europe and Central Asia,-14.721457,12.845516,-6.064462456,-0.069910989,0.999594167,0.016045458
French Polynesia,PYF,East Asia and Pacific,6.669416,-14.070196,-58.89861101,-0.020844754,0.923156607,0.069845861
Gabon,GAB,Sub-Saharan Africa,2.659487,-6.9559264,-38.86703748,38.33538356,0.593917992,0.22294507
Gambia,GMB,Sub-Saharan Africa,2.0445518,-6.74645,0.1544525,-2.034330471,0.790160371,0.535723742
Georgia,GEO,Europe and Central Asia,0.9968814,-4.7962976,5.89557451,53.99209834,0.542899024,0.817853869
Germany,DEU,Europe and Central Asia,-15.176434,13.568956,-12.07760349,27.2041868,0.666636621,0.214679619
Ghana,GHA,Sub-Saharan Africa,-11.601632,9.752942,0.327798951,-13.41962188,0.988376564,0.629645615
Gibraltar,GIB,Europe and Central Asia,9.568324,-18.203419,0.032711767,6.26814789,0.660981432,0.425051146
Greece,GRC,Europe and Central Asia,-4.573947,3.5169146,28.77314359,-2.656311085,0.991742347,0.056008195
Greenland,GRL,Europe and Central Asia,7.3931394,-19.146746,0.40815423,-34.30794831,0.792896676,0.829274795
